,Rider,team,Age_y,Weight,GC,Time trial,Sprint,Climber
0,AASVOLD Kristian,Human Powered Health,0.3333333333333333,61.0,0.011661149563647307,0.003209757663296421,0.013463324048282266,0.006214099216710183
1,ABERASTURI Jon,Trek - Segafredo,0.625,69.0,0.014595245260306951,0.025196597656876905,0.20504487774682761,0.019216710182767625
2,ABRAHAMSEN Jonas,Uno-X Pro Cycling Team,0.3333333333333333,61.0,0.0037616611495636474,0.0017653667148130317,0.008047044258743422,0.0004177545691906005
3,ACKERMANN Pascal,UAE Team Emirates,0.4166666666666667,78.0,0.01941017153174842,0.01059220028887819,0.2879139585267719,0.0414621409921671
4,ADRIÀ Roger,Equipo Kern Pharma,0.25,64.0,0.010833584110743304,0.004333172845450169,0.005880532342927886,0.007101827676240209
5,AFFINI Edoardo,Jumbo-Visma,0.2916666666666667,80.0,0.011059283779717124,0.18054886856042368,0.01145156298359641,0.00036553524804177544
6,AGIRRE Jon,Equipo Kern Pharma,0.25,54.0,0.0018808305747818237,0.0,0.00015475085112968121,0.000835509138381201
7,ALAPHILIPPE Julian,Quick-Step Alpha Vinyl Team,0.4583333333333333,62.0,0.17875413782726451,0.2065479056331247,0.06963788300835655,0.33618798955613577
8,ALBA Juan Diego,Drone Hopper -  Androni Giocattoli,0.25,59.0,0.004363526933493831,0.0,7.737542556484061e-05,0.003028720626631854
9,ALBANESE Vincenzo,EOLO-Kometa,0.2916666666666667,70.0,0.006244357508275655,0.004814636494944632,0.03404518724852987,0.02845953002610966
10,ALEOTTI Giovanni,BORA - hansgrohe,0.16666666666666666,,0.021892867890460427,0.0016048788316482105,0.0030950170225936243,0.010339425587467362
11,ALLEGAERT Piet,Cofidis,0.375,70.0,0.0072223894071622025,0.02246830364307495,0.05385329619312906,0.008407310704960836
12,ALMEIDA João,UAE Team Emirates,0.20833333333333334,63.0,0.14399638880529642,0.19804204782538917,0.009052924791086351,0.106266318537859
13,AMADOR Andrey,INEOS Grenadiers,0.7083333333333334,73.0,0.10938910622931086,0.19547424169475205,0.024450634478489632,0.06673629242819844
14,AMEZQUETA Julen,Caja Rural - Seguros RGA,0.4166666666666667,63.0,0.021892867890460427,0.00016048788316482104,0.0032497678737233053,0.011592689295039165
15,ANACONA Winner,Team Arkéa Samsic,0.625,65.0,0.06733373457718929,0.034183919114106884,0.012147941813679975,0.04407310704960835
16,ANDERSEN Idar,Uno-X Pro Cycling Team,0.20833333333333334,,0.003987360818537466,0.008987321457229979,0.004952027236149799,0.003289817232375979
17,ANDERSON Edward,Alpecin-Deceuninck,0.25,70.0,0.00045139933794763765,0.00016048788316482104,0.0006190034045187249,0.000783289817232376
